#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
XE|ES46|02|BHZ|29.246466|94.25811|2912.0|0.0|0.0|-90.0|CMG3|1048580000.0|5.0|M/S|40.0|2003-07-22T03:57:07|2004-07-04T08:01:35
XE|ES47|02|BHE|29.483097|94.414757|2922.0|0.0|270.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-22T08:59:25|2004-12-31T23:59:59
XE|ES47|02|BHN|29.483097|94.414757|2922.0|0.0|180.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-22T08:59:25|2004-12-31T23:59:59
XE|ES47|02|BHZ|29.483097|94.414757|2922.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-22T08:59:25|2004-12-31T23:59:59
XE|ES48|02|BHE|29.488382|94.578873|2909.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-23T05:57:06|2004-12-31T23:59:59
XE|ES48|02|BHN|29.488382|94.578873|2909.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-23T05:57:06|2004-12-31T23:59:59
XE|ES48|02|BHZ|29.488382|94.578873|2909.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-23T05:57:06|2004-12-31T23:59:59
YA|MC02|01|BHE|30.3811|103.428902|524.0|0.0|90.0|0.0|Guralp CMG40T/Reftek 130 Datalogger|-502303000.0|2.0|M/S|40.0|2003-11-21T03:07:00|2004-12-30T23:59:59
YA|MC02|01|BHN|30.3811|103.428902|524.0|0.0|0.0|0.0|Guralp CMG40T/Reftek 130 Datalogger|-502303000.0|2.0|M/S|40.0|2003-11-21T03:07:00|2004-12-30T23:59:59
YA|MC02|01|BHZ|30.3811|103.428902|524.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|-502303000.0|2.0|M/S|40.0|2003-11-21T03:07:00|2004-12-30T23:59:59
YA|MC03|01|BHE|30.002399|102.489098|1099.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-12T07:47:00|2004-12-30T23:59:59
YA|MC03|01|BHN|30.002399|102.489098|1099.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-12T07:47:00|2004-12-30T23:59:59
YA|MC03|01|BHZ|30.002399|102.489098|1099.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-12T07:47:00|2004-12-30T23:59:59
YA|MC04|01|BHE|30.055|101.480499|3466.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-21T01:16:00|2004-12-30T23:59:59
YA|MC04|01|BHN|30.055|101.480499|3466.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-21T01:16:00|2004-12-30T23:59:59
YA|MC04|01|BHZ|30.055|101.480499|3466.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-21T01:16:00|2004-12-30T23:59:59
YA|MC05|01|BHE|29.9921|100.220703|3939.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-24T03:47:00|2004-12-30T23:59:59
YA|MC05|01|BHN|29.9921|100.220703|3939.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-24T03:47:00|2004-12-30T23:59:59
YA|MC05|01|BHZ|29.9921|100.220703|3939.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-24T03:47:00|2004-12-30T23:59:59
YA|MC06|01|BHE|28.937799|99.794197|2947.0|0.0|90.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-09-26T08:04:00|2004-12-30T23:59:59
YA|MC06|01|BHN|28.937799|99.794197|2947.0|0.0|0.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-09-26T08:04:00|2004-12-30T23:59:59
YA|MC06|01|BHZ|28.937799|99.794197|2947.0|0.0|0.0|-90.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-09-26T08:04:00|2004-12-30T23:59:59
YA|MC07|01|BHE|29.045|100.421501|3656.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-25T06:34:00|2004-12-30T23:59:59
YA|MC07|01|BHN|29.045|100.421501|3656.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-25T06:34:00|2004-12-30T23:59:59
YA|MC07|01|BHZ|29.045|100.421501|3656.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-25T06:34:00|2004-12-30T23:59:59
YA|MC08|01|BHE|28.995899|101.511803|2917.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-29T07:34:00|2004-12-30T23:59:59
YA|MC08|01|BHN|28.995899|101.511803|2917.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-29T07:34:00|2004-12-30T23:59:59
YA|MC08|01|BHZ|28.995899|101.511803|2917.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-29T07:34:00|2004-12-30T23:59:59
YA|MC09|01|BHE|28.959299|102.764099|1095.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-06T04:13:00|2004-12-30T23:59:59
YA|MC09|01|BHN|28.959299|102.764099|1095.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-06T04:13:00|2004-12-30T23:59:59
YA|MC09|01|BHZ|28.959299|102.764099|1095.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-06T04:13:00|2004-12-30T23:59:59
YA|MC10|01|BHE|28.976101|103.870499|448.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-14T07:25:55|2004-12-30T23:59:59
YA|MC10|01|BHN|28.976101|103.870499|448.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-14T07:25:55|2004-12-30T23:59:59
