#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
KZ|VOS||BHN|52.723202|70.979698|300.0|0.0|0.0|0.0|STS2|641025000.0|5.0|M/S|40.0|1999-05-13T06:50:58|
KZ|VOS||BHZ|52.723202|70.979698|300.0|0.0|0.0|-90.0|STS2|641025000.0|5.0|M/S|40.0|1999-05-13T06:50:58|
KZ|VOS||HHE|52.723202|70.979698|450.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|100.0|1997-07-09T00:00:00|
KZ|VOS||HHN|52.723202|70.979698|450.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|100.0|1997-07-09T00:00:00|
KZ|VOS||HHZ|52.723202|70.979698|450.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|100.0|1997-07-09T00:00:00|
KZ|ZRN||BHE|52.951|69.004303|380.0|0.0|90.0|0.0|STS2|641025000.0|5.0|M/S|40.0|1999-08-01T00:00:00|
KZ|ZRN||BHN|52.951|69.004303|380.0|0.0|0.0|0.0|STS2|641025000.0|5.0|M/S|40.0|1999-08-01T00:00:00|
KZ|ZRN||BHZ|52.951|69.004303|380.0|0.0|0.0|-90.0|STS2|641025000.0|5.0|M/S|40.0|1999-08-01T00:00:00|
KZ|ZRNK||BHE|52.951|69.004303|380.0|0.0|90.0|0.0|STS2|641025000.0|5.0|M/S|40.0|1999-08-01T00:00:00|
KZ|ZRNK||BHN|52.951|69.004303|380.0|0.0|0.0|0.0|STS2|641025000.0|5.0|M/S|40.0|1999-08-01T00:00:00|
KZ|ZRNK||BHZ|52.951|69.004303|380.0|0.0|0.0|-90.0|STS2|641025000.0|5.0|M/S|40.0|1999-08-01T00:00:00|
LX|GGNV||BHE|38.718498|-9.1505|77.0|0.0|90.0|0.0|CMG-40T|333027000.0|0.1|M/S|20.0|2007-10-09T00:00:00|
LX|GGNV||BHN|38.718498|-9.1505|77.0|0.0|0.0|0.0|CMG-40T|333027000.0|0.1|M/S|20.0|2007-10-09T00:00:00|
LX|GGNV||BHZ|38.718498|-9.1505|77.0|0.0|0.0|-90.0|CMG-40T|335544000.0|0.1|M/S|20.0|2007-10-09T00:00:00|
LX|GGNV||HHE|38.718498|-9.1505|77.0|0.0|90.0|0.0|CMG-40T|333027000.0|0.1|M/S|100.0|2007-10-09T00:00:00|
LX|GGNV||HHN|38.718498|-9.1505|77.0|0.0|0.0|0.0|CMG-40T|333027000.0|0.1|M/S|100.0|2007-10-09T00:00:00|
LX|GGNV||HHZ|38.718498|-9.1505|77.0|0.0|0.0|-90.0|CMG-40T|335544000.0|0.1|M/S|100.0|2007-10-09T00:00:00|
LX|MESJ||BHE|37.839539|-8.21994|250.0|0.0|90.0|0.0|Streckeisen STS2|943719000.0|0.02|M/S|20.0|2007-07-04T00:00:00|
LX|MESJ||BHN|37.839539|-8.21994|250.0|0.0|0.0|0.0|Streckeisen STS2|943719000.0|0.02|M/S|20.0|2007-07-04T00:00:00|
LX|MESJ||BHZ|37.839539|-8.21994|250.0|0.0|0.0|-90.0|Streckeisen STS2|943719000.0|0.02|M/S|20.0|2007-07-04T00:00:00|
LX|MESJ||HHE|37.839539|-8.21994|250.0|0.0|90.0|0.0|Streckeisen STS2|943719000.0|0.02|M/S|100.0|2007-07-04T00:00:00|
LX|MESJ||HHN|37.839539|-8.21994|250.0|0.0|0.0|0.0|Streckeisen STS2|943719000.0|0.02|M/S|100.0|2007-07-04T00:00:00|
